,name,temp,wind_speed,date
0,Hunter,32.68125,6.515416666666667,2021-12-19
1,Jack Frost,33.56625,11.320833333333333,2021-12-19
2,Big Boulder,31.441666666666677,4.212500000000001,2021-12-19
3,Windham,32.240416666666654,3.6737500000000005,2021-12-19
4,Mountain Creek,36.42749999999999,3.367083333333333,2021-12-19
5,Roundtop,39.973333333333336,10.220833333333333,2021-12-19
6,Mt Snow,24.448333333333334,4.9625,2021-12-19
7,Mohawk,30.87333333333333,3.0104166666666665,2021-12-19
8,Killington,26.37708333333333,2.8874999999999993,2021-12-19
9,Stowe,23.507083333333338,7.24125,2021-12-19
10,Stratton,24.448333333333334,4.9625,2021-12-19
11,Sugarbush,24.19333333333333,5.078333333333334,2021-12-19
12,Okemo,28.095416666666665,2.1970833333333335,2021-12-19
0,Hunter,23.228749999999994,3.897500000000001,2021-12-20 00:00:00
1,Jack Frost,24.831250000000008,5.625416666666667,2021-12-20 00:00:00
2,Big Boulder,22.460833333333337,4.26875,2021-12-20 00:00:00
3,Windham,23.266250000000003,2.9050000000000007,2021-12-20 00:00:00
4,Mountain Creek,27.17833333333334,1.2716666666666667,2021-12-20 00:00:00
5,Roundtop,28.961666666666662,3.3825,2021-12-20 00:00:00
6,Mt Snow,15.040416666666665,3.2366666666666664,2021-12-20 00:00:00
7,Mohawk,22.942916666666665,3.4737499999999994,2021-12-20 00:00:00
8,Killington,16.2925,1.897083333333333,2021-12-20 00:00:00
9,Stowe,15.68,3.8945833333333337,2021-12-20 00:00:00
10,Stratton,15.040416666666665,3.2366666666666664,2021-12-20 00:00:00
11,Sugarbush,16.597916666666666,3.3237500000000004,2021-12-20 00:00:00
12,Okemo,17.946250000000003,2.044583333333333,2021-12-20 00:00:00
0,Hunter,29.911249999999995,2.96625,2021-12-21 00:00:00
1,Jack Frost,29.061249999999998,3.698333333333333,2021-12-21 00:00:00
2,Big Boulder,26.550833333333333,6.7441666666666675,2021-12-21 00:00:00
3,Windham,31.056249999999995,2.7695833333333333,2021-12-21 00:00:00
4,Mountain Creek,30.410416666666663,1.8416666666666666,2021-12-21 00:00:00
5,Roundtop,30.01166666666666,1.2445833333333334,2021-12-21 00:00:00
6,Mt Snow,24.951249999999998,6.572499999999999,2021-12-21 00:00:00
7,Mohawk,28.493750000000002,2.1512499999999997,2021-12-21 00:00:00
8,Killington,29.610416666666666,2.775,2021-12-21 00:00:00
9,Stowe,29.16791666666667,5.672083333333332,2021-12-21 00:00:00
10,Stratton,24.951249999999998,6.572499999999999,2021-12-21 00:00:00
11,Sugarbush,30.33375,5.4325,2021-12-21 00:00:00
12,Okemo,28.7175,2.31,2021-12-21 00:00:00
0,Hunter,32.83833333333334,5.519166666666667,2021-12-22 00:00:00
1,Jack Frost,32.54333333333333,7.884166666666665,2021-12-22 00:00:00
2,Big Boulder,30.59958333333334,6.153333333333335,2021-12-22 00:00:00
3,Windham,33.89708333333333,2.3033333333333332,2021-12-22 00:00:00
4,Mountain Creek,35.770833333333336,1.60125,2021-12-22 00:00:00
5,Roundtop,34.714999999999996,7.289583333333334,2021-12-22 00:00:00
6,Mt Snow,26.809166666666666,6.763749999999999,2021-12-22 00:00:00
7,Mohawk,32.662499999999994,2.3725,2021-12-22 00:00:00
8,Killington,30.450833333333335,3.1070833333333323,2021-12-22 00:00:00
9,Stowe,29.502499999999998,3.2595833333333335,2021-12-22 00:00:00
10,Stratton,26.809166666666666,6.763749999999999,2021-12-22 00:00:00
11,Sugarbush,30.08416666666666,4.9504166666666665,2021-12-22 00:00:00
12,Okemo,30.39583333333334,1.5812499999999998,2021-12-22 00:00:00
0,Hunter,27.988333333333333,7.720416666666666,2021-12-23 00:00:00
1,Jack Frost,27.411249999999995,9.089583333333335,2021-12-23 00:00:00
2,Big Boulder,25.08791666666666,6.287916666666667,2021-12-23 00:00:00
3,Windham,27.571666666666662,3.5350000000000006,2021-12-23 00:00:00
4,Mountain Creek,30.06375,2.2408333333333332,2021-12-23 00:00:00
5,Roundtop,29.49458333333334,8.31875,2021-12-23 00:00:00
6,Mt Snow,19.04083333333333,11.130416666666667,2021-12-23 00:00:00
7,Mohawk,26.284583333333334,3.1875,2021-12-23 00:00:00
8,Killington,21.71333333333334,3.009166666666667,2021-12-23 00:00:00
9,Stowe,16.86125,9.35375,2021-12-23 00:00:00
10,Stratton,19.04083333333333,11.130416666666667,2021-12-23 00:00:00
11,Sugarbush,18.545416666666664,8.500833333333333,2021-12-23 00:00:00
12,Okemo,23.657499999999995,4.09375,2021-12-23 00:00:00
0,Hunter,25.547916666666662,2.881249999999999,2021-12-24 00:00:00
1,Jack Frost,30.391250000000003,4.150000000000001,2021-12-24 00:00:00
2,Big Boulder,27.519166666666667,2.887916666666666,2021-12-24 00:00:00
3,Windham,25.631250000000005,2.0974999999999997,2021-12-24 00:00:00
4,Mountain Creek,30.05916666666666,1.7066666666666663,2021-12-24 00:00:00
5,Roundtop,35.92708333333332,4.868333333333333,2021-12-24 00:00:00
6,Mt Snow,16.215416666666666,2.4883333333333333,2021-12-24 00:00:00
7,Mohawk,22.743333333333336,3.0666666666666664,2021-12-24 00:00:00
8,Killington,18.289166666666667,1.5950000000000004,2021-12-24 00:00:00
9,Stowe,14.241666666666667,1.2929166666666667,2021-12-24 00:00:00
10,Stratton,16.215416666666666,2.4883333333333333,2021-12-24 00:00:00
11,Sugarbush,16.962916666666665,1.7874999999999999,2021-12-24 00:00:00
12,Okemo,18.487916666666667,0.6445833333333333,2021-12-24 00:00:00
0,Hunter,31.206666666666667,3.1145833333333335,2021-12-25 00:00:00
1,Jack Frost,37.62583333333333,3.9312500000000004,2021-12-25 00:00:00
2,Big Boulder,34.60083333333333,4.196666666666666,2021-12-25 00:00:00
3,Windham,31.814583333333335,3.182916666666666,2021-12-25 00:00:00
4,Mountain Creek,34.782916666666665,1.3625,2021-12-25 00:00:00
5,Roundtop,43.85875000000001,2.9224999999999994,2021-12-25 00:00:00
6,Mt Snow,24.947500000000005,2.3716666666666666,2021-12-25 00:00:00
7,Mohawk,27.838749999999994,2.2849999999999997,2021-12-25 00:00:00
8,Killington,28.291666666666668,2.013333333333333,2021-12-25 00:00:00
9,Stowe,23.821666666666662,0.47875,2021-12-25 00:00:00
10,Stratton,24.947500000000005,2.3716666666666666,2021-12-25 00:00:00
11,Sugarbush,26.256666666666664,2.57375,2021-12-25 00:00:00
12,Okemo,27.770833333333332,1.0866666666666671,2021-12-25 00:00:00
0,Hunter,36.94291666666667,6.140833333333333,2021-12-26 00:00:00
1,Jack Frost,42.871249999999996,10.741666666666667,2021-12-26 00:00:00
2,Big Boulder,40.695,3.715833333333334,2021-12-26 00:00:00
3,Windham,37.23791666666666,2.8937500000000003,2021-12-26 00:00:00
4,Mountain Creek,43.81416666666667,3.6362500000000004,2021-12-26 00:00:00
5,Roundtop,48.02208333333332,7.242500000000001,2021-12-26 00:00:00
6,Mt Snow,28.605833333333337,6.357916666666667,2021-12-26 00:00:00
7,Mohawk,35.64458333333332,3.6929166666666666,2021-12-26 00:00:00
8,Killington,29.769166666666663,2.433333333333333,2021-12-26 00:00:00
9,Stowe,26.552500000000006,4.555416666666666,2021-12-26 00:00:00
10,Stratton,28.605833333333337,6.357916666666667,2021-12-26 00:00:00
11,Sugarbush,27.655,3.9579166666666663,2021-12-26 00:00:00
12,Okemo,31.557500000000005,4.123749999999999,2021-12-26 00:00:00
0,Hunter,30.08375,4.539583333333333,2021-12-27 00:00:00
1,Jack Frost,31.62666666666667,6.430000000000001,2021-12-27 00:00:00
2,Big Boulder,29.188333333333333,5.7683333333333335,2021-12-27 00:00:00
3,Windham,30.66125,2.6487499999999997,2021-12-27 00:00:00
4,Mountain Creek,33.30583333333333,3.5258333333333334,2021-12-27 00:00:00
5,Roundtop,34.166250000000005,4.431666666666666,2021-12-27 00:00:00
